Feature 1,Feature 2,Correlation,Flag
skill_match_count,skill_coverage,1.0,corr > 0.95
career_history_length,num_roles,1.0,corr > 0.95
consulting_company_years,consulting_years,1.0,corr > 0.95
years_exp,total_experience_years,0.9983,corr > 0.95
avg_tenure_months,career_stability_score,0.998,corr > 0.95
ownership_score,leadership_depth_score,0.9886,corr > 0.95
bigtech_years,bigtech_ratio,0.9785,corr > 0.95
skill_density,suspicion_score,0.9773,corr > 0.95
career_growth_score,seniority_relevance_score,0.9766,corr > 0.95
ownership_score,ownership_relevance_score,0.9699,corr > 0.95
leadership_depth_score,ownership_relevance_score,0.9682,corr > 0.95
leadership_count,leadership_depth_score,0.9658,corr > 0.95
production_count,jd_core_score,0.9619,corr > 0.95
