feature,importance
technical_credibility_score,58.76437171948557
market_demand_score,47.51785888630061
recruitability_score,45.00682348370037
trust_score,39.25481622483272
semantic_score,35.50505619955091
days_since_active,32.25626555803847
stability_leadership_score,29.503881569509783
avg_assessment_score,26.267243774928165
career_semantic_score,21.25739797343495
github_activity_score,20.50663603124753
ownership_relevance_score,19.50359214258383
role_density,17.253416428226238
shortest_tenure_months,16.754130738181345
experience_gap_years,16.502364341372108
product_years,16.268253593050595
infra_count,15.319199061539226
num_skills,15.0072012054295
availability_score,14.7570462271992
skill_density,13.755347385877107
suspicion_score,13.006120041775764
product_ratio,12.502595643481362
long_term_employment_ratio,12.253791606936375
longest_tenure_months,11.507885686110615
job_hopping_score,10.75240701436452
leadership_count,10.636549579480041
production_ml_score,9.762344626612142
years_exp,9.506106568139325
avg_tenure_months,9.253358979112441
consulting_ratio,8.25474819810933
consulting_company_years,7.253048311453084
technical_leadership_score,7.25184558963977
ownership_count,7.005117751004843
skills_per_role,7.003598454999269
mobility_score,6.753095459720119
notice_period_days,6.503435704234171
leadership_depth_score,6.252267363306054
production_retrieval_score,6.002954185344131
education_score,5.754462998636186
seniority_relevance_score,5.754172802425136
career_stability_score,5.752307159054285
total_experience_years,5.041198187270589
architecture_count,5.01276399614812
retrieval_score_old,5.001998210780397
skill_match_count,4.501667662028493
ownership_score,4.255647051474581
experience_score,4.009811992211597
production_count,3.753888826834226
title_score,3.5061685494832564
startup_years,3.5021863823523414
current_company_type,3.5014063964801125
senior_title_flag,3.2518508827761647
startup_ratio,3.2516847290335344
production_depth_score,3.0105985525489714
prod_ml_count,3.004501057294381
monitoring_count,3.002163298972066
product_company_years,2.0014640953632488
largest_gap_months,2.0011468207449954
promotion_velocity,2.0003712664727704
senior_production_score,1.5022527482077344
career_history_length,1.2528565199050157
multi_year_company_count,1.001422535329301
company_type_switches,0.7514306531972321
location_score,0.7512840577433793
short_tenure_count,0.7511311663757044
num_companies,0.7510048209542026
career_growth_score,0.2508831246278335
promotion_count,0.2501375557413215
leadership_present,0.10937002056197163
infra_present,0.0314648077419229
ranking_count,0.010225329211178412
prod_ml_present,0.006859850997132939
architecture_present,0.006756224233825401
ranking_present,0.005612994439807088
ownership_present,0.0052302649222553035
production_present,0.003814939575035401
consulting_years,0.002245734702647922
num_roles,0.0019549155282436383
experience_consistency_score,0.0019309914608167784
jd_core_score,0.0018520458613324863
skill_coverage,0.0017375858061154576
company_diversity_score,0.0008786601131218902
mlops_present,0.0008682420025745453
product_company_score,0.0007701782055193995
mlops_count,0.0005562428784398591
impact_present,0.0004468173929188719
monitoring_present,0.0003104271787129766
current_role_matches_jd,0.0002841174988726958
consulting_penalty,0.0002810986245985515
impact_count,0.0002098767269163242
mentorship_count,0.00013745723761943843
mentorship_present,8.597388299706906e-05
recommendation_count,3.369422228249803e-05
retrieval_count,1.806586265264547e-05
recommendation_present,1.1812592706595502e-05
bigtech_years,9.845817952413697e-06
bigtech_ratio,2.2338905881806747e-06
retrieval_present,2.1390351651048696e-06
evaluation_present,0.0
matching_present,0.0
matching_count,0.0
llm_wrapper_count,0.0
evaluation_count,0.0
wrapper_to_production_ratio,0.0
executive_title_flag,0.0
very_short_tenure_count,0.0
timeline_quality_score,0.0
timeline_gap_count,0.0
timeline_consistency_score,0.0
