R2,RMSE,MAE,Spearman,NDCG@10,NDCG@100,Model,Target
0.6078846971922535,7.978814220797474,4.679371111111111,0.5974792594783648,0.7311712439317123,0.8468383045038743,ExtraTreesRegressor,composite_score
0.5688153876064297,8.327630208462,5.4749333333333325,0.5584178650371477,0.7770768807976665,0.8511412893021326,ExtraTreesRegressor,raw_fit_score
0.6201314990590046,8.052055204590799,4.3725555555555555,0.6027559021779123,0.691243839889622,0.8038514690073746,ExtraTreesRegressor,strict_weighted_score
0.6079818625976555,8.079832421936594,4.401038222222223,0.5854519732337988,0.7078749819612101,0.8073892432604515,ExtraTreesRegressor,try_2 (80/20)
0.6408287604164441,7.713779022884236,4.27062,0.5821200725039799,0.7830868343568227,0.866824950654167,ExtraTreesRegressor,try_3 (75/25)
0.6259810921045672,7.852610481339595,4.377310222222222,0.5732582367303511,0.7445069768481507,0.853593260903122,ExtraTreesRegressor,try_score
0.6708723314780992,7.309937334942966,4.406242898461868,0.5216953267098047,0.7815662898197648,0.8605904598634252,LightGBMRegressor,composite_score
0.6612240527205968,7.38152490096027,5.0963988774256075,0.559910029353942,0.8062030493730784,0.8640400797391098,LightGBMRegressor,raw_fit_score
0.7016724643359761,7.135703113558794,4.047879901694069,0.5287884347563021,0.8511813976222078,0.8833312353977241,LightGBMRegressor,strict_weighted_score
0.6924099279549029,7.157072720410524,4.086040986270369,0.5215243097509926,0.7988126496225061,0.864631824689849,LightGBMRegressor,try_2 (80/20)
0.69519341692081,7.106055382349849,4.02610635506641,0.5701463697801326,0.8256796634463028,0.8776301042085205,LightGBMRegressor,try_3 (75/25)
0.6883099061813245,7.168508034197754,4.049288871377133,0.5735260441723297,0.8230770493129913,0.8769675907714097,LightGBMRegressor,try_score
0.6672221924769733,7.350360426612501,4.437713333333333,0.6121547315612513,0.7702862737763149,0.8515868482572267,RandomForestRegressor,composite_score
0.6504245338575781,7.498256241731585,5.1619111111111105,0.5946079492363596,0.8514912958644362,0.8759728096535214,RandomForestRegressor,raw_fit_score
0.6830786510222859,7.354715033681908,4.069048888888889,0.5977776511536228,0.7373723487488285,0.8485527862499781,RandomForestRegressor,strict_weighted_score
0.6969180580348613,7.104431049735401,4.029171555555556,0.586051522573564,0.8013468542131585,0.8569565336557381,RandomForestRegressor,try_2 (80/20)
0.6951711990738771,7.106314363590079,4.096512222222222,0.5686226692352156,0.7808603486430997,0.8567578853639922,RandomForestRegressor,try_3 (75/25)
0.6854372458960079,7.201466184826532,4.173204444444444,0.5864432545061795,0.7892334245338362,0.8618902357837226,RandomForestRegressor,try_score
0.6687968855729256,7.33294897871258,4.375393306321779,0.578103849295372,0.8169777974133664,0.8670676211485101,Weighted_Ensemble,composite_score
0.6611025456305737,7.382848529762605,5.063322754215045,0.5910922922477725,0.8728371870045486,0.8853636970209806,Weighted_Ensemble,raw_fit_score
0.7016803742756537,7.135608513918164,3.9789740975146013,0.5558895816888615,0.824036441895855,0.8765385705963352,Weighted_Ensemble,strict_weighted_score
0.7036381957280169,7.025227425807718,4.012145367878589,0.5653073894233609,0.8197449561550902,0.87081395655731,Weighted_Ensemble,try_2 (80/20)
0.7047163921541648,6.99416842024656,3.995026870158268,0.59522510540555,0.8427829507395052,0.8832974869366809,Weighted_Ensemble,try_3 (75/25)
0.692585425851708,7.119172283901721,4.054951578693745,0.600637048931042,0.7934443214368155,0.878981637109911,Weighted_Ensemble,try_score
0.6070546864354784,7.987254341265117,4.596156909169422,0.550002549344595,0.7789103157752617,0.853283767428901,XGBRegressor,composite_score
0.6506004333496094,7.496370072909923,5.215716361999512,0.5720880076030289,0.8707927213481974,0.884617557975853,XGBRegressor,raw_fit_score
0.6919370437661072,7.251199294717622,4.07065354826053,0.5162286437401707,0.8291495911932989,0.8816685997241324,XGBRegressor,strict_weighted_score
0.7061616690103257,6.995254141979472,4.05807797466649,0.5281126248199163,0.8546575998919482,0.8955930145059935,XGBRegressor,try_2 (80/20)
0.6747712574903779,7.3402504217097535,4.187134557737244,0.5694058642685251,0.8118111897067741,0.8712447515924248,XGBRegressor,try_3 (75/25)
0.6630697459849614,7.453105712466417,4.217979535828697,0.6062430102461341,0.8159747380616418,0.8796653776620096,XGBRegressor,try_score
