candidate_id,rank,predicted_score
CAND_0093912,1,0.9008631
CAND_0095619,2,0.8660109
CAND_0013536,3,0.85426146
CAND_0040887,4,0.83791333
CAND_0036184,5,0.8371308
CAND_0006567,6,0.83420324
CAND_0061244,7,0.8293155
CAND_0012957,8,0.82450897
CAND_0091890,9,0.8193062
CAND_0013613,10,0.8182024
CAND_0083852,11,0.8178056
CAND_0020877,12,0.8165538
CAND_0074225,13,0.81156594
CAND_0084819,14,0.8107488
CAND_0031033,15,0.8101783
CAND_0003791,16,0.8090914
CAND_0096142,17,0.8087652
CAND_0061265,18,0.8080956
CAND_0015493,19,0.803872
CAND_0052195,20,0.8014684
CAND_0093331,21,0.8005201
CAND_0091534,22,0.793864
CAND_0052328,23,0.7871062
CAND_0035879,24,0.7856172
CAND_0012888,25,0.7852587
CAND_0010408,26,0.7838252
CAND_0024147,27,0.78292507
CAND_0028793,28,0.780987
CAND_0037944,29,0.7806463
CAND_0003977,30,0.779851
CAND_0044565,31,0.7791477
CAND_0061696,32,0.77761275
CAND_0037566,33,0.7765521
CAND_0066999,34,0.7737762
CAND_0046313,35,0.7726812
CAND_0045778,36,0.7713447
CAND_0050553,37,0.7680729
CAND_0027801,38,0.76164603
CAND_0014440,39,0.7609876
CAND_0055992,40,0.76077366
CAND_0073314,41,0.75870395
CAND_0002706,42,0.7573275
CAND_0076284,43,0.756508
CAND_0010257,44,0.75249356
CAND_0089947,45,0.75227064
CAND_0008978,46,0.75198203
CAND_0046064,47,0.7519256
CAND_0087494,48,0.75181234
CAND_0061177,49,0.75034904
CAND_0093006,50,0.7495552
CAND_0080465,51,0.74840724
CAND_0049831,52,0.7465867
CAND_0092706,53,0.7463621
CAND_0064904,54,0.7426454
CAND_0099806,55,0.7417297
CAND_0072489,56,0.74054366
CAND_0018549,57,0.7396542
CAND_0036520,58,0.7390398
CAND_0077296,59,0.7384619
CAND_0044855,60,0.73609567
CAND_0037980,61,0.7297512
CAND_0011707,62,0.72914684
CAND_0084963,63,0.7285148
CAND_0031593,64,0.72812
CAND_0072688,65,0.7279962
CAND_0055960,66,0.72724307
CAND_0037000,67,0.7260752
CAND_0034270,68,0.72300506
CAND_0070332,69,0.7225306
CAND_0074731,70,0.72097754
CAND_0054100,71,0.7209059
CAND_0075249,72,0.72087073
CAND_0076904,73,0.7192622
CAND_0039383,74,0.7165085
CAND_0068910,75,0.71452016
CAND_0017918,76,0.71415275
CAND_0065277,77,0.7140978
CAND_0018499,78,0.71393704
CAND_0041669,79,0.71377635
CAND_0081932,80,0.71333396
CAND_0074486,81,0.71243334
CAND_0018320,82,0.7118522
CAND_0049540,83,0.71158844
CAND_0043312,84,0.7109066
CAND_0058426,85,0.7109021
CAND_0003171,86,0.7108574
CAND_0064130,87,0.71049607
CAND_0047721,88,0.71045387
CAND_0069905,89,0.70938885
CAND_0087778,90,0.7079084
CAND_0016894,91,0.70757234
CAND_0086151,92,0.7064294
CAND_0076482,93,0.7063875
CAND_0029671,94,0.70561326
CAND_0057529,95,0.7053563
CAND_0095213,96,0.7048249
CAND_0053591,97,0.7043316
CAND_0090155,98,0.7041214
CAND_0043637,99,0.70401084
CAND_0073504,100,0.7037114
